,Location1,Location2,Strand,Length,PID,Gene,Synonym,Code,COG,Product
1911,2095125,2095862,+,245,87082028,hisA,b2024,-,-,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
1912,2095844,2096620,+,258,1788336,hisF,b2025,-,-,"imidazole glycerol phosphate synthase, catalytic subunit with HisH"
1913,2096614,2097225,+,203,2367128,hisI,b2026,-,-,fused phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase
1914,2097321,2098301,-,326,87082029,wzzB,b2027,-,-,regulator of length of O-antigen component of lipopolysaccharide chains
1915,2098447,2099613,-,388,1788340,ugd,b2028,-,-,UDP-glucose 6-dehydrogenase
1916,2099862,2101268,-,468,1788341,gnd,b2029,-,-,"6-phosphogluconate dehydrogenase, decarboxylating"
1917,2101895,2102911,-,338,1788342,insH1,b2030,-,-,IS5 transposase and trans-activator
1918,2103391,2104509,-,372,1788344,wbbK,b2032,-,-,lipopolysaccharide biosynthesis protein
1919,2104494,2105084,-,196,1788345,wbbJ,b2033,-,-,putative lipopolysaccharide biosynthesis O-acetyl transferase
1920,2105065,2106057,-,330,1788346,wbbI,b2034,-,-,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase"
1921,2106060,2107226,-,388,1788347,wbbH,b2035,-,-,O-antigen polymerase
1922,2107226,2108329,-,367,1788348,glf,b2036,-,-,"UDP-galactopyranose mutase, FAD/NAD(P)-binding"
1923,2108337,2109584,-,415,1788349,wzxB,b2037,-,-,putative polisoprenol-linked O-antigen transporter
1924,2109581,2110138,-,185,1788350,rfbC,b2038,-,-,"dTDP-4-deoxyrhamnose-3,5-epimerase"
1925,2110138,2111019,-,293,1788351,rfbA,b2039,-,-,glucose-1-phosphate thymidylyltransferase
1926,2111077,2111976,-,299,1788352,rfbD,b2040,-,-,"dTDP-4-dehydrorhamnose reductase subunit, NAD(P)-binding, of dTDP-L-rhamnose synthase"
1927,2111976,2113061,-,361,1788353,rfbB,b2041,-,-,"dTDP-glucose 4,6 dehydratase, NAD(P)-binding"
1928,2113434,2114327,-,297,1788355,wcaN,b2042,-,-,putative regulatory subunit for GalU
1929,2114502,2115896,-,464,1788356,wcaM,b2043,-,-,colanic acid biosynthesis protein
1930,2115907,2117127,-,406,1788357,wcaL,b2044,-,-,putative glycosyl transferase
1931,2117124,2118404,-,426,1788358,wcaK,b2045,-,-,colanic acid biosynthesis protein
1932,2118680,2120158,-,492,1788359,wzxC,b2046,-,-,putative colanic acid exporter
1933,2120160,2121554,-,464,1788360,wcaJ,b2047,-,-,colanic biosynthesis UDP-glucose lipid carrier transferase
1934,2121609,2122979,-,456,1788361,cpsG,b2048,-,-,phosphomannomutase
1935,2123084,2124520,-,478,1788362,cpsB,b2049,-,-,mannose-1-phosphate guanyltransferase
1936,2124523,2125746,-,407,1788363,wcaI,b2050,-,-,putative glycosyl transferase
1937,2125743,2126222,-,159,87082031,wcaH,b2051,-,-,GDP-mannose mannosyl hydrolase
1938,2126225,2127190,-,321,1788365,wcaG,b2052,-,-,bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase
1939,2127193,2128314,-,373,1788366,gmd,b2053,-,-,"GDP-D-mannose dehydratase, NAD(P)-binding"
1940,2128340,2128888,-,182,1788367,wcaF,b2054,-,-,putative acyl transferase
1941,2128904,2129650,-,248,1788368,wcaE,b2055,-,-,putative glycosyl transferase
1942,2129661,2130878,-,405,1788369,wcaD,b2056,-,-,putative colanic acid polymerase
1943,2130853,2132070,-,405,1788370,wcaC,b2057,-,-,putative glycosyl transferase
1944,2132067,2132555,-,162,1788371,wcaB,b2058,-,-,putative acyl transferase
1945,2132558,2133397,-,279,1788372,wcaA,b2059,-,-,putative glycosyl transferase
1946,2133490,2135652,-,720,87082032,wzc,b2060,-,-,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase
1947,2135655,2136098,-,147,1788375,wzb,b2061,-,-,colanic acid production protein-tyrosine-phosphatase; Wzc-P dephosphorylase
1948,2136104,2137243,-,379,1788376,wza,b2062,-,-,colanic acid export protein; outer membrane auxillary lipoprotein
1949,2137902,2139485,+,527,87082033,yegH,b2063,-,-,inner membrane protein
1950,2139759,2141612,-,617,1788378,asmA,b2064,-,-,suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein
1951,2141634,2142215,-,193,1788379,dcd,b2065,-,-,2'-deoxycytidine 5'-triphosphate deaminase
1952,2142307,2142948,-,213,87082034,udk,b2066,-,-,uridine/cytidine kinase
1953,2143266,2146583,+,1105,1788381,yegE,b2067,-,-,putative diguanylate cyclase
1954,2146692,2147540,-,282,1788383,alkA,b2068,-,-,3-methyl-adenine DNA glycosylase II
1955,2147674,2149026,+,450,87082035,yegD,b2069,-,-,Hsp70 chaperone family protein
1956,2149039,2150985,-,648,1788385,yegI,b2070,-,-,protein kinase-related putative non-specific DNA-binding protein
1957,2151185,2151646,+,153,1788386,yegJ,b2071,-,-,uncharacterized protein
1958,2151711,2152472,-,253,1788387,yegK,b2072,-,-,ser/thr phosphatase-related protein
1959,2152469,2153128,-,219,1788388,yegL,b2073,-,-,VMA domain protein
1960,2153349,2153408,-,19,226510956,ibsA,b4667,-,-,toxic membrane protein
1961,2153681,2153737,-,18,226510957,ibsB,b4668,-,-,toxic membrane protein
1962,2154016,2155263,+,415,87082036,mdtA,b2074,-,-,"multidrug efflux system, subunit A"
1963,2155263,2158385,+,1040,1788390,mdtB,b2075,-,-,"multidrug efflux system, subunit B"
1964,2158386,2161463,+,1025,1788391,mdtC,b2076,-,-,"multidrug efflux system, subunit C"
1965,2161464,2162879,+,471,1788392,mdtD,b2077,-,-,putative arabinose efflux transporter
1966,2162876,2164279,+,467,1788393,baeS,b2078,-,-,sensory histidine kinase in two-component regulatory system with BaeR
1967,2164276,2164998,+,240,1788394,baeR,b2079,-,-,response regulator in two-component regulatory system with BaeS
1968,2165189,2165521,+,110,87082037,yegP,b2080,-,-,UPF0339 family protein
1969,2165668,2167029,+,453,1788397,yegQ,b2081,-,-,putative peptidase
1970,2167302,2167520,-,72,1788398,ogrK,b2082,-,-,positive regulator of P2 growth (insertion of P2 ogr gene into the chromosome)
1971,2167989,2168306,-,105,87082038,yegR,b2085,-,-,uncharacterized protein
1972,2168712,2169611,+,299,1788402,yegS,b2086,-,-,"phosphatidylglycerol kinase, metal-dependent"
1973,2170236,2170535,+,99,226510958,insE1,b2088,-,-,IS3 transposase A
1974,2170532,2171398,+,288,1788405,insF1,b2089,-,-,IS3 transposase B
1975,2171833,2172873,-,346,1788407,gatD,b2091,-,-,"galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding"
1976,2174282,2174566,-,94,1788409,gatB,b2093,-,-,galactitol-specific enzyme IIB component of PTS
1977,2174597,2175049,-,150,1788410,gatA,b2094,-,-,galactitol-specific enzyme IIA component of PTS
1978,2175059,2176321,-,420,1788411,gatZ,b2095,-,-,"D-tagatose 1,6-bisphosphate aldolase 2, subunit"
1979,2176350,2177204,-,284,87082041,gatY,b2096,-,-,"D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit"
1980,2177512,2178564,-,350,87082042,fbaB,b2097,-,-,fructose-bisphosphate aldolase class I
1981,2178821,2180098,+,425,1788415,yegT,b2098,-,-,"nucleoside transporter, low affinity"
1982,2180095,2181099,+,334,1788416,yegU,b2099,-,-,ADP-ribosylglycohydrolase family protein
1983,2181096,2182061,+,321,1788417,yegV,b2100,-,-,putative kinase
1984,2182035,2182781,-,248,1788418,yegW,b2101,-,-,putative DNA-binding transcriptional regulator
1985,2182833,2183651,-,272,87082043,yegX,b2102,-,-,putative family 25 glycosyl hydrolase
1986,2183716,2184516,-,266,1788420,thiD,b2103,-,-,bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase
1987,2184513,2185301,-,262,1788421,thiM,b2104,-,-,hydoxyethylthiazole kinase
1988,2185524,2185796,-,90,1788422,rcnR,b2105,-,-,transcriptional repressor of rcnA
1989,2185917,2186741,+,274,1788423,rcnA,b2106,-,-,membrane protein conferring nickel and cobalt resistance
1990,2186960,2187298,+,112,87082044,rcnB,b2107,-,-,periplasmic modulator of Ni and Co efflux
1991,2187380,2188414,-,344,1788426,yehA,b2108,-,-,putative fimbrial-like adhesin protein
1992,2188430,2190910,-,826,1788427,yehB,b2109,-,-,putative outer membrane protein
1993,2190926,2191645,-,239,1788428,yehC,b2110,-,-,putative periplasmic pilin chaperone
1994,2191680,2192222,-,180,1788429,yehD,b2111,-,-,putative fimbrial-like adhesin protein
1995,2192515,2192796,-,93,1788430,yehE,b2112,-,-,DUF2574 family protein
1996,2193059,2194168,-,369,87082045,mrp,b2113,-,-,antiporter inner membrane protein
1997,2194300,2196333,+,677,1788432,metG,b2114,-,-,methionyl-tRNA synthetase
1998,2200279,2203911,+,1210,1788436,yehI,b2118,-,-,DUF4132 domain-containing protein
1999,2203972,2204289,+,105,87082048,yehK,b4541,-,-,uncharacterized protein
2000,2204596,2205684,+,362,87082049,yehL,b2119,-,-,putative ABC superfamily transporter ATP-binding subunit
2001,2205695,2207974,+,759,1788439,yehM,b2120,-,-,uncharacterized protein
2002,2207967,2209103,+,378,1788440,yehP,b2121,-,-,VMA domain putative YehL ATPase stimulator
2003,2211225,2211686,+,153,87082051,yehR,b2123,-,-,"lipoprotein, DUF1307 family"
2004,2211726,2212196,-,156,1788443,yehS,b2124,-,-,DUF1456 family protein
2005,2212243,2212962,-,239,87082052,yehT,b2125,-,-,putative response regulator in two-component system withYehU
2006,2212959,2214644,-,561,1788446,yehU,b2126,-,-,inner membrane putative sensory kinase in two-component system with YehT
2007,2214866,2215597,+,243,1788448,mlrA,b2127,-,-,transcriptional activator of csgD and csgBA
2008,2215657,2215764,+,35,87082053,yohO,b4542,-,-,putative membrane protein
2009,2215745,2216476,-,243,1788449,yehW,b2128,-,-,inner membrane putative ABC superfamily transporter permease
2010,2216481,2217407,-,308,1788450,yehX,b2129,-,-,putative ABC superfamily transporter ATP-binding subunit
2011,2217400,2218557,-,385,1788451,yehY,b2130,-,-,inner membrane putative ABC superfamily transporter permease
2012,2218564,2219481,-,305,1788452,osmF,b2131,-,-,putative ABC superfamily transporter periplasmic-binding protein
2013,2219692,2221989,-,765,1788453,bglX,b2132,-,-,"beta-D-glucoside glucohydrolase, periplasmic"
2014,2222185,2223900,+,571,1788454,dld,b2133,-,-,"D-lactate dehydrogenase, FAD-binding, NADH independent"
2015,2223938,2224870,-,310,87082054,pbpG,b2134,-,-,D-alanyl-D-alanine endopeptidase
2016,2225044,2225631,-,195,87082055,yohC,b2135,-,-,Yip1 family inner membrane protein
2017,2225801,2226379,+,192,87082056,yohD,b2136,-,-,DedA family inner membrane protein
2018,2226509,2227270,-,253,1788459,yohF,b2137,-,-,putative oxidoreductase
2019,2228982,2229065,+,27,226510959,yohP,b4679,-,-,uncharacterized protein
2020,2229438,2230385,-,315,1788462,dusC,b2140,-,-,tRNA-dihydrouridine synthase C
2021,2230624,2231022,+,132,1788463,yohJ,b2141,-,-,UPF0299 family inner membrane protein
2022,2231019,2231714,+,231,1788464,yohK,b2142,-,-,LrgB family inner membrane protein
2023,2231844,2232728,+,294,1788465,cdd,b2143,-,-,cytidine/deoxycytidine deaminase
2024,2232878,2233597,+,239,1788466,sanA,b2144,-,-,"vancomycin high temperature exclusion protein, DUF218 superfamily protein"
2025,2233600,2233839,+,79,1788467,yeiS,b2145,-,-,DUF2542 family protein
2026,2234033,2235271,+,412,1788468,preT,b2146,-,-,"dihydropyrimidine dehydrogenase, NADH-dependent, subunit N"
2027,2235265,2236500,+,411,87082059,preA,b2147,-,-,"dihydropyrimidine dehydrogenase, NADH-dependent, subunit C"
2028,2236743,2237753,-,336,1788471,mglC,b2148,-,-,methyl-galactoside transporter subunit
2029,2237769,2239289,-,506,1788472,mglA,b2149,-,-,fused methyl-galactoside transporter subunits of ABC superfamily: ATP-binding components
2030,2239350,2240348,-,332,1788473,mglB,b2150,-,-,methyl-galactoside transporter subunit
2031,2240628,2241668,-,346,1788474,galS,b2151,-,-,galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor
2032,2241810,2242967,-,385,1788475,yeiB,b2152,-,-,DUF418 family putative inner membrane protein
2033,2242984,2243652,-,222,1788476,folE,b2153,-,-,GTP cyclohydrolase I
2034,2243910,2244746,+,278,1788477,yeiG,b2154,-,-,S-formylglutathione hydrolase
2035,2244778,2246769,-,663,1788478,cirA,b2155,-,-,colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter
2036,2247063,2248532,-,489,1788480,lysP,b2156,-,-,lysine transporter
2037,2248737,2249618,-,293,1788481,yeiE,b2157,-,-,putative DNA-binding transcriptional regulator
2038,2249717,2250766,+,349,1788482,yeiH,b2158,-,-,UPF0324 family inner membrane protein
2039,2250840,2251697,+,285,1788483,nfo,b2159,-,-,endonuclease IV with intrinsic 3'-5' exonuclease activity
2040,2251700,2252788,+,362,1788484,yeiI,b2160,-,-,putative kinase
2041,2252895,2254145,-,416,1788485,nupX,b2161,-,-,nucleoside permease
2042,2254245,2255186,-,313,1788486,rihB,b2162,-,-,ribonucleoside hydrolase 2
2043,2255355,2256014,+,219,1788487,yeiL,b2163,-,-,putative transcriptional regulator
2044,2256085,2257335,-,416,1788488,psuT,b2164,-,-,putative nucleoside transporter
2045,2257429,2258367,-,312,1788490,psuG,b2165,-,-,pseudouridine 5'-phosphate glycosidase
2046,2258355,2259296,-,313,1788491,psuK,b2166,-,-,pseudouridine kinase
2047,2259719,2261410,-,563,1788492,fruA,b2167,-,-,fused fructose-specific PTS enzymes: IIBcomponent/IIC components
2048,2261427,2262365,-,312,1788493,fruK,b2168,-,-,fructose-1-phosphate kinase
2049,2262365,2263495,-,376,1788494,fruB,b2169,-,-,fused fructose-specific PTS enzymes: IIA component/HPr component
2050,2263863,2265044,+,393,1788495,setB,b2170,-,-,lactose/glucose efflux system
2051,2265041,2265295,-,84,87082060,yeiW,b4502,-,-,UPF0153 cysteine cluster protein
2052,2265450,2266022,+,190,87082061,yeiP,b2171,-,-,elongation factor P-like protein
2053,2266245,2267711,+,488,1788497,yeiQ,b2172,-,-,putative NAD-dependent D-mannonate oxidoreductase
2054,2267829,2268815,+,328,1788499,yeiR,b2173,-,-,Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein
2055,2268854,2269567,+,237,87082062,lpxT,b2174,-,-,lipid A 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase
2056,2269979,2270545,+,188,1788501,mepS,b2175,-,-,"murein DD-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein"
2057,2270726,2272282,+,518,1788502,rtn,b2176,-,-,"resistance protein for phages lambda and N4, putative membrane-anchored cyclic-di-GMP phosphodiesterase"
2058,2272364,2274178,+,604,87082063,yejA,b2177,-,-,"microcin C transporter YejABEF, periplasmic binding protein; ABC family"
2059,2274179,2275273,+,364,1788504,yejB,b2178,-,-,"microcin C transporter YejABEF, permease subunit; ABC family"
2060,2275273,2276298,+,341,1788505,yejE,b2179,-,-,"microcin C transporter YejABEF, permease subunit; ABC family"
2061,2276300,2277889,+,529,1788506,yejF,b2180,-,-,"microcin C transporter, ATP-binding subunit; ABC family"
2062,2277893,2278237,-,114,1788507,yejG,b2181,-,-,uncharacterized protein
2063,2278570,2279760,-,396,1788509,bcr,b2182,-,-,bicyclomycin/cysteine/sulfonamide efflux transporter
2064,2279788,2280483,-,231,1788510,rsuA,b2183,-,-,16S rRNA pseudouridine(516) synthase
2065,2280632,2282392,+,586,1788511,yejH,b2184,-,-,putative ATP-dependent DNA or RNA helicase
2066,2282517,2282801,+,94,1788512,rplY,b2185,-,-,50S ribosomal subunit protein L25
2067,2282940,2283947,-,335,1788513,yejK,b2186,-,-,spermidine nucleoid-associated protein
2068,2284129,2284356,+,75,1788514,yejL,b2187,-,-,UPF0352 family protein
2069,2284376,2286136,+,586,1788515,yejM,b2188,-,-,essential inner membrane DUF3413 domain-containing protein; lipid A production and membrane permeability factor
2070,2289065,2290081,-,338,1788518,insH1,b2192,-,-,IS5 transposase and trans-activator
2071,2290500,2291147,+,215,1788521,narP,b2193,-,-,response regulator in two-component regulatory system with NarQ or NarX
2072,2291358,2292410,-,350,1788522,ccmH,b2194,-,-,"heme lyase, CcmH subunit"
2073,2292407,2292964,-,185,1788523,dsbE,b2195,-,-,periplasmic thioredoxin of cytochrome c-type biogenesis
2074,2292961,2294904,-,647,1788524,ccmF,b2196,-,-,"heme lyase, CcmF subunit"
2075,2294901,2295380,-,159,1788525,ccmE,b2197,-,-,periplasmic heme chaperone
2076,2295377,2295586,-,69,1788526,ccmD,b2198,-,-,cytochrome c biogenesis protein
2077,2295583,2296320,-,245,1788527,ccmC,b2199,-,-,heme exporter subunit
2078,2296362,2297024,-,220,1788528,ccmB,b2200,-,-,heme exporter subunit
2079,2297021,2297644,-,207,87082064,ccmA,b2201,-,-,heme exporter subunit
2080,2297657,2298259,-,200,1788530,napC,b2202,-,-,"quinol dehydrogenase, electron source for NapAB"
2081,2298269,2298718,-,149,87082065,napB,b2203,-,-,"nitrate reductase, small, cytochrome C550 subunit, periplasmic"
2082,2298715,2299578,-,287,1788532,napH,b2204,-,-,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
2083,2299565,2300260,-,231,1788533,napG,b2205,-,-,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
2084,2300267,2302753,-,828,1788534,napA,b2206,-,-,"nitrate reductase, periplasmic, large subunit"
2085,2302750,2303013,-,87,1788535,napD,b2207,-,-,assembly protein for periplasmic nitrate reductase
2086,2303003,2303497,-,164,1788536,napF,b2208,-,-,"ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA"
2087,2303905,2304393,+,162,1788538,eco,b2209,-,-,"ecotin, a serine protease inhibitor"
2088,2305108,2306754,-,548,1788539,mqo,b2210,-,-,"malate dehydrogenase, FAD/NAD(P)-binding domain"
2089,2306972,2308615,-,547,1788540,yojI,b2211,-,-,"microcin J25 efflux pump, TolC-dependent; fused ABC transporter permease and ATP-binding components"
2090,2308691,2309341,-,216,1788541,alkB,b2212,-,-,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
2091,2309341,2310405,-,354,1788542,ada,b2213,-,-,fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase
2092,2310479,2311534,-,351,1788543,apbE,b2214,-,-,putative thiamine-synthetic flavin transferase lipoprotein
2093,2311646,2312749,-,367,1788544,ompC,b2215,-,-,outer membrane porin protein C
2094,2313488,2316160,+,890,1788545,rcsD,b2216,-,-,phosphotransfer intermediate protein in two-component regulatory system with RcsBC
2095,2316177,2316827,+,216,1788546,rcsB,b2217,-,-,response regulator in two-component regulatory system with RcsC and YojN
2096,2317027,2319876,-,949,145693157,rcsC,b2218,-,-,hybrid sensory kinase in two-component regulatory system with RcsB and YojN
2097,2320043,2321869,+,608,1788549,atoS,b2219,-,-,sensory histidine kinase in two-component regulatory system with AtoC
2098,2321866,2323251,+,461,1788550,atoC,b2220,-,-,"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
2099,2323447,2324109,+,220,1788551,atoD,b2221,-,-,"acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit"
2100,2324109,2324759,+,216,1788552,atoA,b2222,-,-,"acetyl-CoA:acetoacetyl-CoA transferase, beta subunit"
2101,2324756,2326078,+,440,1788553,atoE,b2223,-,-,short chain fatty acid transporter
2102,2326109,2327293,+,394,1788554,atoB,b2224,-,-,acetyl-CoA acetyltransferase
2103,2327367,2328143,-,258,1788556,yfaP,b2225,-,-,"DUF2135 family protein, putative host defense protein"
2104,2328148,2329797,-,549,1788557,yfaQ,b2226,-,-,"tandem DUF2300 domain protein, putative host defense protein"
2105,2334336,2334959,-,207,87082068,yfaT,b2229,-,-,"DUF1175 family protein, putative host defense protein"
2106,2334956,2336644,-,562,87082069,yfaA,b2230,-,-,"DUF2138 family protein, putative host defense protein"
2107,2336793,2339420,-,875,1788562,gyrA,b2231,-,-,"DNA gyrase (type II topoisomerase), subunit A"
2108,2339567,2340289,+,240,1788564,ubiG,b2232,-,-,bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase
2109,2340417,2344169,-,1250,1788565,yfaL,b2233,-,-,adhesin
2110,2344865,2347150,+,761,2367133,nrdA,b2234,-,-,"ribonucleoside-diphosphate reductase 1, alpha subunit"
2111,2347384,2348514,+,376,1788567,nrdB,b2235,-,-,"ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein"
2112,2348514,2348768,+,84,1788568,yfaE,b2236,-,-,ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance
2113,2348822,2349472,-,216,1788569,inaA,b2237,-,-,acid-inducible Kdo/WaaP family putative kinase
2114,2349935,2351011,-,358,1788572,glpQ,b2239,-,-,periplasmic glycerophosphodiester phosphodiesterase
2115,2351016,2352374,-,452,1788573,glpT,b2240,-,-,sn-glycerol-3-phosphate transporter
2116,2352647,2354275,+,542,1788574,glpA,b2241,-,-,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding"
2117,2354265,2355524,+,419,1788575,glpB,b2242,-,-,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit"
2118,2355521,2356711,+,396,1788576,glpC,b2243,-,-,"anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster"
2119,2356904,2357803,+,299,1788577,yfaD,b2244,-,-,transposase_31 family protein
2120,2357816,2358001,+,61,87082070,ypaA,b4543,-,-,uncharacterized protein
2121,2358042,2358845,-,267,1788578,rhmA,b2245,-,-,2-keto-3-deoxy-L-rhamnonate aldolase
2122,2358863,2360152,-,429,87082071,rhmT,b2246,-,-,putative L-rhamnonate transporter
2123,2360209,2361414,-,401,226510960,rhmD,b2247,-,-,L-rhamnonate dehydratase
2124,2361429,2362211,-,260,1788581,rhmR,b2248,-,-,putative DNA-binding transcriptional regulator for the rhm operon
2125,2362431,2363633,-,400,1788583,yfaY,b2249,-,-,inactive PncC family protein
2126,2363733,2364275,-,180,87082072,yfaZ,b2250,-,-,"outer membrane protein, putative porin"
2127,2364554,2364979,+,141,1788585,nudI,b2251,-,-,nucleoside triphosphatase
2128,2365018,2365620,-,200,1788586,ais,b2252,-,-,putative LPS core heptose(II)-phosphate phosphatase
2129,2365928,2367067,+,379,145693159,arnB,b2253,-,-,"uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent"
2130,2367071,2368039,+,322,1788588,arnC,b2254,-,-,undecaprenyl phosphate-L-Ara4FN transferase
2131,2368039,2370021,+,660,1788589,arnA,b2255,-,-,fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase
2132,2370018,2370908,+,296,1788590,arnD,b2256,-,-,undecaprenyl phosphate-alpha-L-ara4FN deformylase
2133,2370908,2372560,+,550,1788591,arnT,b2257,-,-,4-amino-4-deoxy-L-arabinose transferase
2134,2372557,2372892,+,111,87082074,arnE,b4544,-,-,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit
2135,2372892,2373278,+,128,87082075,arnF,b2258,-,-,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit
2136,2373272,2373538,-,88,87082076,pmrD,b2259,-,-,inactive two-component system connector protein
2137,2373648,2375003,-,451,1788595,menE,b2260,-,-,O-succinylbenzoate-CoA ligase
2138,2375000,2375962,-,320,1788596,menC,b2261,-,-,O-succinylbenzoyl-CoA synthase
2139,2375962,2376819,-,285,1788597,menB,b2262,-,-,dihydroxynaphthoic acid synthetase
2140,2376834,2377592,-,252,1788598,menH,b2263,-,-,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
2141,2377589,2379259,-,556,1788599,menD,b2264,-,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase; SEPHCHC synthase
2142,2379348,2380643,-,431,87082077,menF,b2265,-,-,isochorismate synthase 2
2143,2380722,2381027,-,101,1788601,elaB,b2266,-,-,"DUF883 family protein, putative membrane-anchored ribosome-binding protein"
2144,2381082,2381543,-,153,1788602,elaA,b2267,-,-,putative acyl-CoA transferase
2145,2381608,2382525,+,305,87082078,rbn,b2268,-,-,"RNase BN, tRNA processing enzyme"
2146,2382713,2383924,+,403,1788604,elaD,b2269,-,-,"protease, capable of cleaving an AMC-ubiquitin model substrate"
2147,2383995,2385722,-,575,1788606,yfbK,b2270,-,-,Von Willebrand factor domain putative lipoprotein
2148,2385860,2386831,+,323,87082079,yfbL,b2271,-,-,putative peptidase
2149,2386934,2387437,+,167,1788608,yfbM,b2272,-,-,DUF1877 family protein
2150,2387710,2388426,-,238,1788609,yfbN,b2273,-,-,uncharacterized protein
2151,2388635,2389057,+,140,226510961,yfbO,b2274,-,-,uncharacterized protein
2152,2389116,2389964,+,282,345297176,yfbP,b2275,-,-,TPR-like repeats-containing protein
2153,2390048,2391505,-,485,145693160,nuoN,b2276,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit N"
2154,2391512,2393041,-,509,1788613,nuoM,b2277,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit M"
2155,2393205,2395046,-,613,1788614,nuoL,b2278,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit L"
2156,2395043,2395345,-,100,1788615,nuoK,b2279,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit K"
2157,2395342,2395896,-,184,1788616,nuoJ,b2280,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit J"
2158,2395908,2396450,-,180,1788617,nuoI,b2281,-,-,"NADH:ubiquinone oxidoreductase, chain I"
2159,2396465,2397442,-,325,1788618,nuoH,b2282,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit H"
2160,2397439,2400165,-,908,145693161,nuoG,b2283,-,-,"NADH:ubiquinone oxidoreductase, chain G"
2161,2400218,2401555,-,445,1788620,nuoF,b2284,-,-,"NADH:ubiquinone oxidoreductase, chain F"
2162,2401552,2402052,-,166,1788621,nuoE,b2285,-,-,"NADH:ubiquinone oxidoreductase, chain E"
2163,2402055,2403845,-,596,145693162,nuoC,b2286,-,-,"NADH:ubiquinone oxidoreductase, fused CD subunit"
2164,2403951,2404613,-,220,1788624,nuoB,b2287,-,-,"NADH:ubiquinone oxidoreductase, chain B"
2165,2404629,2405072,-,147,1788625,nuoA,b2288,-,-,"NADH:ubiquinone oxidoreductase, membrane subunit A"
2166,2405703,2406641,-,312,1788626,lrhA,b2289,-,-,"transcriptional repressor of flagellar, motility and chemotaxis genes"
2167,2407561,2408778,+,405,1788627,alaA,b2290,-,-,valine-pyruvate aminotransferase 2
2168,2408862,2409461,+,199,1788628,yfbR,b2291,-,-,5'-nucleotidase
2169,2409520,2411352,-,610,1788629,yfbS,b2292,-,-,putative transporter
2170,2411439,2412089,-,216,87082080,yfbT,b2293,-,-,sugar phosphatas
2171,2412100,2412594,-,164,87082081,yfbU,b2294,-,-,UPF0304 family protein
2172,2412677,2413132,-,151,1788632,yfbV,b2295,-,-,UPF0208 family inner membrane protein
2173,2413470,2414672,+,400,1788633,ackA,b2296,-,-,acetate kinase A and propionate kinase 2
